"pin","title","target_book","slide_01","slide_02","slide_03","slide_04","slide_05","slide_06","slide_07","slide_08","slide_09","slide_10","content_slides"
"013","A House, a Bank Account, or Bitcoin — Which One Can You Actually Pass Down?","THE BITCOIN FAMILY GUIDE","A House, a Bank Account, or Bitcoin — Which One Can You Actually Pass Down?","A house can be seized for unpaid taxes. A bank account can be frozen, blocked, or caught up in probate for years after you die.","Even gold can be confiscated — it happened in the US in 1933 when the government ordered citizens to hand in their gold.","Bitcoin stored with your own private keys is different. It's 24 words written on a piece of paper.","Those words can be passed to anyone, anywhere in the world, with no bank, no lawyer, and no government in the middle.","This isn't about hiding money from anyone.","It's about understanding that the ways we've always passed wealth down to the next generation all have weak points — points where a third party can intervene.","A 24-word seed phrase for a Bitcoin wallet is the first form of inheritance in human history that is completely portable, completely private, and requires no institution to transfer.","You could whisper it to someone on their deathbed and they'd be able to access everything. That's a remarkable thing that most people haven't thought about yet.","The Bitcoin Family Guide
Get it on Amazon →","8"
"014","You Don't Need to Understand How Bitcoin Works to Use It — Just Like Email","EXPLAINED WITHOUT BRAIN MELT","You Don't Need to Understand How Bitcoin Works to Use It — Just Like Email","In 1995 most people had no idea how the internet worked — but they still started using email.","Today over 5 billion people use the internet without understanding a single line of code. Bitcoin is going through the same shift right now. The apps are simple. The steps are clear.","You can buy your first small amount of Bitcoin in about 10 minutes on your phone, without reading a single technical document.","You don't need to understand the engine to drive the car. The biggest barrier isn't the technology — it's the jargon.","Words like blockchain, private key, hash rate, and mining make people feel like this is only for computer scientists.","It's not. A private key is just your password. The blockchain is just a public record book. Mining is just how new transactions get confirmed.","Once you swap the jargon for plain words, the whole thing makes sense in an afternoon.","This book was written specifically for people who have been put off by the technical language and just want a clear, honest explanation.","Bitcoin, Explained
Get it on Amazon →","8"
"015","Your Grandmother Understands Inflation Better Than Most Economists Will Admit","EXPLAINED WITHOUT BRAIN MELT","Your Grandmother Understands Inflation Better Than Most Economists Will Admit","Ask any grandmother about the price of bread and she'll tell you exactly how much it's gone up.","She's not looking at economic charts — she's looking at her weekly shopping bill.","The loaf that cost 50 cents in 1980 costs $4 today. Her pension stayed the same. Her savings account pays almost nothing.","She doesn't need a PhD to know that something is quietly wrong with a money system where prices keep rising but her purchasing power keeps shrinking.","The instinct that tells her something is wrong is correct. When governments print more money without creating more real goods and services, each existing unit of money buys a little less.","It's called inflation, and it's essentially a hidden tax on anyone who saves in that currency.","Bitcoin was built as a direct response to this problem. You can't print more of it. Nobody controls it. The rules don't change.","It's a very different way of thinking about what money is for — and it starts with exactly the question your grandmother is already asking.","Bitcoin, Explained
Get it on Amazon →","8"
"016","For 5,000 Years We Had to Trust Someone With Our Money — Now We Don't","BITCOIN WHITEPAPER: THE HUMANS VERSION","For 5,000 Years We Had to Trust Someone With Our Money — Now We Don't","Every money system in history has required you to trust someone. Trust the king not to shave the gold coins.","Trust the bank not to lend out more than it has. Trust the government not to print too much.","Bitcoin is the first money system in history where trust is replaced by math. The rules are written in open code that anyone can read.","Nobody can change them — not a CEO, not a president, not a central bank.","The maths runs the show. This sounds technical but the idea is actually simple. Imagine a vending machine.","You put in your money, press a button, and the snack comes out. You don't need to trust the machine operator — the machine follows rules that can't be overridden.","Bitcoin works like that, except instead of a vending machine it's a global network of computers all running the same rulebook at the same time.","No single person or government controls it. The rules are the same for a billionaire as they are for a first-time buyer. That's the idea Satoshi put into those 9 pages.","Bitcoin Whitepaper for Humans
Get it on Amazon →","8"
"017","In the Year 2140, the Last Bitcoin Will Ever Be Created. Then What?","QUESTION EVERYTHING YOU KNOW ABOUT MONEY","In the Year 2140, the Last Bitcoin Will Ever Be Created. Then What?","Bitcoin is programmed to release new coins on a fixed schedule that slows down every four years — an event called the halving.","By around the year 2140, the 21 millionth and final Bitcoin will be mined. After that, not a single new coin will ever be created.","For the first time in human history, the total money supply of a global currency will be completely known, completely fixed, and completely immune to political interference.","Every human alive will know exactly how much there is.","Why does this matter? Because every other currency in history has been vulnerable to one thing — someone deciding to make more of it.","Romans shaved their gold coins. Medieval kings debased silver. Modern governments print paper. Each time, the people who saved in that currency quietly lost wealth.","A currency with a hard cap that nobody can override is a fundamentally different thing.","It doesn't mean Bitcoin is perfect — but the scarcity is real, it's guaranteed by mathematics, and no government vote can change it. That's genuinely new in human history.","Question Everything
Get it on Amazon →","8"
"018","How Do You Explain Bitcoin to a 10-Year-Old? Start Here.","THE BITCOIN FAMILY GUIDE","How Do You Explain Bitcoin to a 10-Year-Old? Start Here.","A 10-year-old can understand this: imagine you and your friends invent a game where there are only 100 trading cards, ever — no more can ever be made.","As more people want to play, those cards become more valuable because the supply never grows.","Bitcoin is that game, except it's global, it's mathematical, and the 21 million limit is guaranteed by code that nobody controls.","The child who understands scarcity early has a head start on most adults.","Most kids grow up learning that money comes from working hard — but nobody explains what money actually is, why it changes in value, or what inflation does to their pocket money over time.","These aren't complicated ideas when you use the right language.","A child who understands why limited things tend to hold value, and why unlimited things tend to lose it, has a mental model that will serve them for life — long before they ever buy their first satoshi.","This book was written to make that conversation easy for any family.","The Bitcoin Family Guide
Get it on Amazon →","8"
"019","Is Bitcoin a Scam? Here's What the Evidence Actually Shows","BITCOIN MYTHS & LEGENDS","Is Bitcoin a Scam? Here's What the Evidence Actually Shows","Scams need a secret. Someone at the top who benefits while everyone else loses. Bitcoin has no CEO, no head office, and no one controlling the money supply.","Its entire transaction history — every payment ever made — is public and visible to anyone in the world. The code is open source, meaning any programmer can read every line of it.","After 15 years, no security researcher has found a way to fake transactions or steal coins through the system itself. That's an unusual track record for a scam.","The honest answer is that scams have been built on top of Bitcoin — fake exchanges, dodgy tokens, influencer pump schemes.","Those are real and worth being careful about. But Bitcoin itself is not a scam in the way most people mean.","It's open, transparent, decentralised, and has been running without interruption for 15 years.","The people who call it a scam most loudly tend to be the ones who stand to lose customers if people start keeping their own money.","The 50 questions in this book cover the most common doubts — with facts, not hype.","Bitcoin Myths & Legends
Get it on Amazon →","8"
"020","Germany 1923: People Burned Banknotes for Warmth Because the Wood Cost More","FLUSH THE FIAT","Germany 1923: People Burned Banknotes for Warmth Because the Wood Cost More","In 1923 Germany, hyperinflation got so bad that workers were paid twice a day so they could spend their wages before the prices rose again.","A wheelbarrow full of banknotes couldn't buy a loaf of bread. People burned bundles of cash for heating fuel — it was cheaper than buying wood.","The German mark lost so much value so fast that middle-class families who had saved their entire lives were wiped out overnight.","It took a complete currency reset to start over. What caused it? The German government printed money to pay war reparations after World War One.","There was no limit. No rule that said they had to stop.","And when there's no limit on how much money can be created, the only direction for prices is up.","This is not ancient or exotic history — it's a warning about what happens to any currency with no hard cap on supply.","Bitcoin's 21 million limit isn't an arbitrary number. It was a deliberate design decision to make that kind of collapse mathematically impossible.","Flush the Fiat
Get it on Amazon →","8"
"021","Why Did Satoshi Stay Anonymous? The Answer Changes How You See Bitcoin","WHO IS SATOSHI NAKAMOTO?","Why Did Satoshi Stay Anonymous? The Answer Changes How You See Bitcoin","If Satoshi Nakamoto had put his real name on Bitcoin, governments could have shut it down on day one.","They could have arrested him, taken his servers, and ended the whole project before it got started. By staying anonymous and then disappearing entirely, he made Bitcoin leaderless — and therefore unstoppable.","There's no CEO to arrest. No headquarters to raid. No face to put on a wanted poster. The network runs itself, owned by no one, controlled by no one.","This is actually one of the most important design decisions in Bitcoin's history — and it wasn't even technical. It was human.","Satoshi understood that for a truly decentralised system to survive, there couldn't be a person at the centre of it.","As soon as there's a leader, there's a target. Gold can be confiscated. Companies can be shut down.","But you can't shut down a mathematical rulebook running across thousands of computers on every continent simultaneously.","His disappearance wasn't a mystery to be solved — it may have been the whole point.","Who Is Satoshi Nakamoto?
Get it on Amazon →","8"
"022","In Many Countries, a Woman Still Can't Open a Bank Account Without a Man's Permission","BITCOIN: A WOMAN'S BEST FRIEND","In Many Countries, a Woman Still Can't Open a Bank Account Without a Man's Permission","Over one billion adults worldwide don't have access to a bank account.","In many countries, the barriers are highest for women — requiring a husband's consent, a permanent address, or government ID that women are less likely to hold.","Bitcoin requires none of this. You need a phone and an internet connection. No form, no signature, no approval.","In 2021, Afghan women used Bitcoin to receive salary payments after the Taliban froze their bank accounts. That's not a hypothetical. That actually happened.","Financial access has never been equal — and traditional banks, for all their progress, are still buildings with opening hours, approval processes, and country-specific rules.","Bitcoin is a network with no opening hours, no approval process, and no borders. A woman in a rural village with a basic smartphone can hold and send Bitcoin as easily as a banker in New York.","The technology doesn't care about your gender, your nationality, your address, or your credit history.","That's a genuinely new kind of financial freedom — and it matters most to the people who've had the least of it.","Bitcoin: A Woman's Best Friend
Get it on Amazon →","8"
"023","The 2008 Financial Crisis Was the Reason Bitcoin Was Built. Here's the Connection.","BITCOIN WHITEPAPER: THE HUMANS VERSION","The 2008 Financial Crisis Was the Reason Bitcoin Was Built. Here's the Connection.","On October 31st 2008 — while banks were being bailed out with public money — Satoshi Nakamoto published the Bitcoin whitepaper.","The timing was not a coincidence. He embedded a bank bailout headline directly into Bitcoin's first ever block of data.","The whole point was to create a financial system where the rules couldn't be changed to benefit the powerful at the expense of everyone else.","Bitcoin was designed as an exit from a system that privatises profits and socialises losses.","The 2008 crisis showed what happens when a small group of institutions can make huge bets, collect the profits when they win, and expect governments to cover the losses when they fail.","Regular people lost their homes, their savings, and their jobs. The banks got bailed out.","Satoshi's response was to build something where no single institution could hold that kind of power — where the rules are the same for everyone, written in code, visible to all, and changeable by no one.","Understanding 2008 is the fastest way to understand why Bitcoin exists.","Bitcoin Whitepaper for Humans
Get it on Amazon →","8"
"024","Venezuela 2018: People Carried Cash in Bags — and It Still Wasn't Enough","FLUSH THE FIAT","Venezuela 2018: People Carried Cash in Bags — and It Still Wasn't Enough","In Venezuela in 2018, annual inflation hit over 1,000,000%. A cup of coffee that cost 1 bolivar in 2016 cost 1 million bolivars two years later.","People stuffed supermarket trolleys with bricks of cash just to buy groceries. Workers were paid in wheelbarrows of notes that became worthless before they could spend them.","The government simply kept printing, because stopping would have meant admitting the system had failed.","Ordinary people paid the price with their life savings. What's remarkable is how quickly it happened.","Venezuela had the largest proven oil reserves in the world. It was a wealthy country.","The collapse took less than a decade, driven by a government that believed it could print its way out of economic problems.","Some Venezuelans who had saved in Bitcoin — even small amounts — retained purchasing power when everything else evaporated. This isn't an advertisement for Bitcoin.","It's evidence of what happens when the money system has no hard limits, and why having some savings outside that system might be worth thinking about.","Flush the Fiat
Get it on Amazon →","8"
"025","What If You Could Give Your Child a Gift That Couldn't Be Inflated Away?","THE BITCOIN FAMILY GUIDE","What If You Could Give Your Child a Gift That Couldn't Be Inflated Away?","A savings bond bought for a child in 1980 and cashed in today would buy far less than it seemed to promise.","The number on the paper went up a little. But prices went up much more.","What looks like a generous gift at the time can quietly lose most of its real value by the time the child grows up.","Bitcoin has a fixed supply. No government can print more of it. No central bank can devalue it.","A small amount bought today and stored safely can be passed on with its scarcity completely intact. This isn't about making your child a Bitcoin millionaire.","It's about giving them a financial education alongside a small, tangible stake in something that works differently from the money system they'll grow up using.","When a teenager can log in and see a wallet with real value in it — and understands why it works the way it does — they've learned something most adults never got taught.","The Bitcoin Family Guide was written to make that conversation possible in any household, regardless of technical knowledge.","The Bitcoin Family Guide
Get it on Amazon →","8"
"026","Your Rent Didn't Get More Expensive. Your Money Got Weaker.","QUESTION EVERYTHING YOU KNOW ABOUT MONEY","Your Rent Didn't Get More Expensive. Your Money Got Weaker.","In 1971, US President Nixon ended the gold standard — the rule that every dollar had to be backed by actual gold.","After that, governments could print as much money as they wanted. Between 1971 and today, the average house price in the US went up by over 3,000%.","Wages went up too, but not nearly as much. The house didn't get bigger or better. The money used to buy it got weaker.","When more money chases the same number of houses, prices rise — that's not the market failing, it's basic maths.","Understanding this one event — the end of the gold standard in 1971 — explains a huge amount about why housing, healthcare, and education feel unaffordable to younger generations in a way they didn't to their parents.","It's not just that things got expensive. It's that the unit of measurement we use for value — the dollar — has been quietly shrinking for 50 years.","Bitcoin is not a solution to housing affordability.","But understanding what happened to money in 1971 is the starting point for understanding why so many people are looking for an alternative.","Question Everything
Get it on Amazon →","8"
"027","Bitcoin Uses Less Energy Than Gold Mining. Why Doesn't Anyone Say That?","BITCOIN MYTHS & LEGENDS","Bitcoin Uses Less Energy Than Gold Mining. Why Doesn't Anyone Say That?","Gold mining consumes an estimated 130 terawatt-hours of energy per year. It requires diesel-powered excavators, cyanide leaching processes, and shipping enormous quantities of rock around the planet.","Bitcoin mining uses roughly 120 terawatt-hours — and an increasing share of that comes from renewable and wasted energy sources.","Nobody argues we should ban gold mining to save the planet. But Bitcoin gets singled out constantly. The question worth asking is: why?","The honest answer is that Bitcoin threatens the existing financial system in ways that gold doesn't.","Gold is manageable — it sits in vaults, it's controlled by banks and governments, and it doesn't allow ordinary people to be their own banks.","Bitcoin does. So the energy argument gets amplified and applied selectively. This isn't to say Bitcoin has no environmental footprint — it does.","But the argument is almost never made in context or with fair comparisons.","Before you accept any headline about Bitcoin's energy use, it's worth asking what it's being compared to.","Bitcoin Myths & Legends
Get it on Amazon →","8"
"028","Your Pension Fund May Be Quietly Losing 4-7% of Its Value Every Year","QUESTION EVERYTHING YOU KNOW ABOUT MONEY","Your Pension Fund May Be Quietly Losing 4-7% of Its Value Every Year","Most pension funds are required by law to hold large amounts of government bonds and cash-equivalent assets. These assets are considered safe.","But safe from what? Government bonds in a currency that loses 5-7% of its value per year to inflation are not safe — they're guaranteed to slowly shrink.","The number on your pension statement might go up.","But if inflation is running faster than your returns, your actual purchasing power — what you can buy with that money — is going down.","This is one of the least-discussed problems in personal finance. Most people check their pension balance, see a bigger number than last year, and feel good.","But a bigger number in a weaker currency isn't the same as being better off.","The question to ask is not how much money do I have but how much can that money actually buy in 10 years. Bitcoin doesn't solve all retirement problems.","But understanding that even safe assets lose value to inflation is the first step toward asking better questions about where your savings actually are.","Question Everything
Get it on Amazon →","8"
"029","Hal Finney Received the First Bitcoin Transaction — and He Knew It Would Change Everything","WHO IS SATOSHI NAKAMOTO?","Hal Finney Received the First Bitcoin Transaction — and He Knew It Would Change Everything","On January 12th 2009 — nine days after Bitcoin launched — a man named Hal Finney received 10 Bitcoin from Satoshi Nakamoto.","It was the first ever peer-to-peer Bitcoin transaction. Hal was a cryptographer who had spent years working on digital privacy.","When Satoshi's whitepaper landed in his inbox on Halloween 2008, he was one of the only people in the world who immediately understood what it meant.","Those 10 coins he received are worth hundreds of thousands of dollars today.","Hal Finney spent his later years in a wheelchair, battling ALS — a progressive illness that eventually took his life in 2014.","He kept working on Bitcoin even after his diagnosis, contributing code and ideas from home.","He was one of the few people who truly understood both the technical brilliance of what Satoshi had built and the human importance of what it could mean.","Some researchers believe Hal himself may have been Satoshi. He denied it. But the story of who first believed in Bitcoin is just as fascinating as the mystery of who created it.","Who Is Satoshi Nakamoto?
Get it on Amazon →","8"
"030","Bitcoin Has One Rule That No President, Bank, or Government Can Break","BITCOIN WHITEPAPER: THE HUMANS VERSION","Bitcoin Has One Rule That No President, Bank, or Government Can Break","Every financial system in history has had one vulnerability — the people in charge could always change the rules.","Kings debased coins. Central banks printed money. Governments froze accounts during crises.","Bitcoin has one rule that has never been broken in 15 years of operation: there will only ever be 21 million coins.","This limit is not a policy. It's not a law. It's mathematics, agreed on by thousands of independent computers running simultaneously around the world.","To change Bitcoin's 21 million limit, you would need the majority of every computer running the Bitcoin network, in every country, to simultaneously agree to adopt a new version of the software — and then every person holding Bitcoin to also agree.","In practice this is functionally impossible. It's been tried and failed. This is genuinely new.","For the first time in history, ordinary people can hold savings in something whose supply rules can't be quietly changed by the people in power.","That's a significant thing — even if it takes a while to appreciate why.","Bitcoin Whitepaper for Humans
Get it on Amazon →","8"
"031","The Same Banks That Called Bitcoin a Scam Are Now Buying It By the Billion","THE SAYLOR STANDARD","The Same Banks That Called Bitcoin a Scam Are Now Buying It By the Billion","In 2017, JPMorgan CEO Jamie Dimon called Bitcoin a fraud and said he'd fire any employee caught trading it. In 2024, JPMorgan was one of the largest holders of Bitcoin ETF shares.","BlackRock, the world's biggest asset manager, launched a Bitcoin ETF and it became one of the fastest-growing funds in history. Goldman Sachs, Fidelity, and dozens of other major institutions followed.","The same people who said it was worthless are now buying it as fast as they can. What changed? The short answer is: the numbers.","Institutions spend millions on financial analysts whose job is to work out where value is and where it's going.","When those analysts looked carefully at Bitcoin — the fixed supply, the growing adoption, the 15-year track record — the conclusion kept pointing in one direction.","Michael Saylor saw it early and bet his entire company treasury on it.","His argument was simple: if you're holding cash and cash loses 5-7% per year, you're not playing it safe — you're just losing slowly.","The smart money figured that out. The rest is following.","The Saylor Standard
Get it on Amazon →","8"
"032","Zimbabwe 2008: A Country That Printed a $100 Trillion Banknote — and It Bought Nothing","FLUSH THE FIAT","Zimbabwe 2008: A Country That Printed a $100 Trillion Banknote — and It Bought Nothing","In 2008, Zimbabwe's central bank printed a $100 trillion dollar note. It wasn't enough to buy a bus ticket.","Annual inflation had reached 89.7 sextillion percent — that's an 89 followed by 21 zeros.","Farmers stopped farming because it cost more to grow food than the food was worth to sell. Doctors and teachers fled the country.","A functioning economy collapsed in less than a decade, driven almost entirely by a government that kept printing money to pay its bills.","The Reserve Bank of Zimbabwe didn't do this out of malice. They were trying to pay for a war and fund public services when tax revenues collapsed.","But printing money isn't the same as creating wealth — it just spreads the same amount of real value across more pieces of paper.","Once people realised the paper was worthless, the whole system fell apart overnight. Bitcoin can't fix a broken government.","But a currency that no government can print more of is a fundamentally different kind of protection for ordinary savers. The lesson from Zimbabwe is simple: unlimited supply always ends the same way.","Flush the Fiat
Get it on Amazon →","8"
"033","For 500 Years, Banks Kept the Books in Secret. Bitcoin Made Them Public.","BITCOIN WHITEPAPER: THE HUMANS VERSION","For 500 Years, Banks Kept the Books in Secret. Bitcoin Made Them Public.","Every bank in the world keeps its own private ledger — a record of who has what, what moved where, and what the balance is.","You have to trust them to keep it honestly. Bitcoin's ledger is different.","Every single transaction ever made — from the very first one in January 2009 to the one that happened 10 minutes ago — is public.","Anyone with an internet connection can read the entire history. Nobody can quietly edit it. No transaction can be hidden or reversed.","It's the first shared financial record in history that nobody owns and nobody controls. This might sound like a privacy problem — and it's worth understanding how it actually works.","Bitcoin transactions show wallet addresses, not names. Your identity isn't publicly attached to your wallet unless you choose to reveal it.","What is public is the flow of funds — which wallet sent how much to which other wallet, and when. This makes fraud extraordinarily difficult.","When someone tried to steal funds in a well-known hack, investigators tracked every single satoshi across dozens of wallets and recovered most of them. A truly public ledger is a very different kind of honesty.","Bitcoin Whitepaper for Humans
Get it on Amazon →","8"
